
2024/01/31 (20:58:32) | ===> btop++ v.1.3.0
2024/01/31 (20:58:33) | ERROR: Stall in Runner thread, restarting!
2024/01/31 (20:58:41) | ERROR: Stall in Runner thread, restarting!

2024/02/03 (22:01:48) | ===> btop++ v.1.3.0
2024/02/03 (22:01:49) | ERROR: Stall in Runner thread, restarting!
2024/02/03 (22:03:17) | ERROR: Runner thread died unexpectedly!

2024/02/08 (21:11:34) | ===> btop++ v.1.3.0
2024/02/08 (21:11:34) | ERROR: Stall in Runner thread, restarting!
2024/02/08 (21:11:49) | ERROR: Stall in Runner thread, restarting!
